Tanggal,P,Wf,Wl,Gate
29-12-2023,0.6,0.102660992571341,0.6357333333333333,7.745593799294721
30-12-2023,15.75,1.53448758433975,0.7197333333333333,7.408296618209299
31-12-2023,15.75,2.9560662213730016,0.8037333333333333,15.900144025394324
01-01-2024,2.2,1.7309262230651754,0.8154666666666667,9.250439480138898
02-01-2024,10.6,1.2692436326128589,0.872,15.549184789628207
03-01-2024,0.0,1.0625570391522765,0.872,15.549184789628207
04-01-2024,3.0,0.3378341398028199,0.888,17.1431136756233
05-01-2024,1.1,0.4393564244643841,0.7613333333333334,7.036022457260032
06-01-2024,0.0,0.1515222846615641,0.7613333333333334,7.017363040710023
07-01-2024,1.65,0.2027450219832175,0.7701333333333333,7.030061699888668
08-01-2024,1.65,0.3557801133829086,0.7757333333333334,7.043157191839092
09-01-2024,39.05,3.9617212982705055,0.9,30.304435756973202
10-01-2024,23.15,6.059517201292729,0.9394666666666666,35.59623877779265
11-01-2024,1.65,2.461141142348501,0.9365333333333332,26.37648289532339
12-01-2024,2.55,0.4553380706704898,0.8936,17.64277942589056
13-01-2024,0.1,0.3046382320563151,0.8941333333333333,17.688811005202737
14-01-2024,0.0,0.0596103093124139,0.8781333333333333,16.191505842284045
15-01-2024,0.0,0.05,0.8722666666666666,15.578007893490371
16-01-2024,9.15,0.9355455104060496,0.9210666666666668,19.738724091594268
17-01-2024,46.3,5.646325224039454,1.1592,41.46143220097886
18-01-2024,12.5,6.044883725929004,1.2170666666666667,45.816099684546906
19-01-2024,10.95,2.4293216547969028,1.0672,29.498367480394332
20-01-2024,18.35,2.9710502736695363,1.0416,31.220264908988803
21-01-2024,18.15,3.7128409543995975,1.1296,34.60215004100113
22-01-2024,5.85,2.480967302291892,1.1472,29.771919227111795
23-01-2024,9.95,1.6632489543599909,1.1997333333333335,26.887084758305132
24-01-2024,0.0,1.069289975299464,1.199733333333333,25.845942393712548
25-01-2024,2.75,0.3323825205099394,1.2144,27.6410263636779
26-01-2024,2.15,0.5518032555150801,1.1770666666666667,25.251039785378357
27-01-2024,1.5,0.4152149365571707,0.9381333333333332,20.80197844028748
28-01-2024,0.0,0.1957942015520301,0.8714666666666666,15.49128274350378
29-01-2024,0.5,0.0969781173491161,0.8157333333333334,7.491981290403011
30-01-2024,38.6,3.8352538301950014,0.9237333333333334,31.35652940293369
31-01-2024,21.35,5.8647776224334,0.9408,35.42284494180436
01-02-2024,27.1,4.82991775241226,1.0541333333333334,38.19746320154157
02-02-2024,13.0,4.054501664883312,1.0704000000000002,35.82851090355215
03-02-2024,0.2,1.3711067578458511,1.0714666666666668,25.25105875975703
