Tanggal,P,Wf,Wl
01-11-2023,0.0,0.05,0.5
02-11-2023,0.0,0.05,0.5
03-11-2023,0.0,0.05,0.5
04-11-2023,0.0,0.05,0.5
05-11-2023,18.7,1.736680726730101,0.6994666666666667
06-11-2023,18.3,3.4630282966972405,0.8288888888888889
07-11-2023,0.0,1.77634756996714,0.7819047619047619
08-11-2023,0.0,0.05,0.7466666666666667
09-11-2023,0.0,0.05,0.7192592592592593
10-11-2023,3.75,0.3905997430596218,0.7173333333333334
11-11-2023,0.25,0.41331793535012684,0.7186666666666667
12-11-2023,0.0,0.07271819229050502,0.7186666666666667
13-11-2023,0.0,0.05,0.7186666666666667
14-11-2023,0.0,0.05,0.7186666666666667
15-11-2023,0.0,0.05,0.6189333333333333
16-11-2023,0.0,0.05,0.5213333333333333
17-11-2023,0.05,0.05412743129581228,0.5216
18-11-2023,0.1,0.062385046252205034,0.5221333333333333
19-11-2023,0.0,0.05825761495639275,0.5221333333333333
20-11-2023,0.0,0.05,0.5021333333333333
21-11-2023,0.0,0.05,0.5008
22-11-2023,0.0,0.05,0.5008
23-11-2023,0.0,0.05,0.5008
24-11-2023,0.0,0.05,0.5008
25-11-2023,0.0,0.05,0.5008
26-11-2023,0.0,0.05,0.5008
27-11-2023,1.35,0.16045851139262343,0.5077333333333334
28-11-2023,5.199999999999999,0.5932382468652015,0.5349333333333334
29-11-2023,10.25,1.3623208963489062,0.5896
30-11-2023,3.55,1.2370971200551224,0.6085333333333334
01-12-2023,0.9,0.4357119241834473,0.6133333333333334
02-12-2023,1.35,0.24579895163062931,0.6205333333333334
03-12-2023,1.5,0.2988546952644238,0.6285333333333334
04-12-2023,13.15,1.366922754930051,0.6986666666666667
05-12-2023,13.15,2.4524888314028157,0.7688
06-12-2023,0.0,1.2667777851112123,0.7687999999999999
07-12-2023,2.05,0.23992900105684578,0.7725333333333334
08-12-2023,34.95,3.6310841221752472,0.9312
09-12-2023,26.8,6.095321105370341,1.0194666666666667
10-12-2023,44.55,7.295892106366757,1.2381333333333333
11-12-2023,16.5,6.363216622479084,1.3213333333333335
12-12-2023,1.0,1.8757962533580703,1.3194666666666666
13-12-2023,0.0,0.15430575299380322,1.3114666666666666
14-12-2023,35.3,3.7848937734030135,1.4296000000000002
15-12-2023,3.0,4.100167019136048,1.3754666666666666
16-12-2023,26.7,3.2189892389328225,1.5
17-12-2023,0.25,2.9304081229316172,1.5
18-12-2023,0.5,0.12888158701033492,1.3245333333333336
19-12-2023,0.0,0.10218945727850545,1.1816
20-12-2023,0.0,0.05,0.944
21-12-2023,0.0,0.05,0.856
22-12-2023,0.0,0.05,0.8506666666666667
23-12-2023,0.0,0.05,0.8506666666666667
24-12-2023,0.0,0.05,0.6624
25-12-2023,0.0,0.05,0.6464000000000001
26-12-2023,24.85,2.231847664104938,0.6365333333333334
27-12-2023,0.0,2.231847664104938,0.6352
28-12-2023,0.0,0.05,0.6325333333333334
29-12-2023,0.6,0.10266099257134106,0.6357333333333333
30-12-2023,15.75,1.5344875843397499,0.7197333333333333
31-12-2023,15.75,2.9560662213730016,0.8037333333333333
01-01-2024,2.1999999999999997,1.7309262230651754,0.8154666666666667
02-01-2024,10.6,1.2692436326128587,0.872
03-01-2024,0.0,1.0625570391522765,0.872
04-01-2024,3.0,0.33783413980281995,0.888
05-01-2024,1.1,0.4393564244643841,0.7613333333333334
06-01-2024,0.0,0.15152228466156414,0.7613333333333334
07-01-2024,1.65,0.20274502198321753,0.7701333333333333
08-01-2024,1.65,0.35578011338290866,0.7757333333333334
09-01-2024,39.05,3.9617212982705063,0.9
10-01-2024,23.15,6.059517201292729,0.9394666666666666
11-01-2024,1.65,2.4611411423485015,0.9365333333333333
12-01-2024,2.55,0.45533807067048987,0.8936
13-01-2024,0.1,0.30463823205631513,0.8941333333333333
14-01-2024,0.0,0.05961030931241398,0.8781333333333333
15-01-2024,0.0,0.05,0.8722666666666666
16-01-2024,9.15,0.9355455104060497,0.9210666666666667
17-01-2024,46.300000000000004,5.646325224039454,1.1592
18-01-2024,12.5,6.044883725929004,1.2170666666666667
19-01-2024,10.95,2.4293216547969028,1.0672
20-01-2024,18.349999999999998,2.9710502736695363,1.0415999999999999
21-01-2024,18.15,3.7128409543995975,1.1296
22-01-2024,5.85,2.480967302291892,1.1472
23-01-2024,9.95,1.6632489543599907,1.1997333333333335
24-01-2024,0.0,1.069289975299464,1.1997333333333333
25-01-2024,2.75,0.33238252050993944,1.2144
26-01-2024,2.15,0.5518032555150801,1.1770666666666667
27-01-2024,1.5,0.41521493655717073,0.9381333333333333
28-01-2024,0.0,0.1957942015520301,0.8714666666666666
29-01-2024,0.5,0.0969781173491161,0.8157333333333334
30-01-2024,38.6,3.8352538301950014,0.9237333333333334
31-01-2024,21.35,5.8647776224334,0.9408000000000001
01-02-2024,27.1,4.82991775241226,1.0541333333333334
02-02-2024,13.0,4.054501664883312,1.0704000000000002
03-02-2024,0.2,1.3711067578458513,1.0714666666666668
04-02-2024,2.7,0.340289297691822,1.0712000000000002
05-02-2024,10.600000000000001,1.3905084346202787,1.1162666666666667
06-02-2024,113.15,13.445483465085797,1.5
07-02-2024,34.75,16.217283068132822,1.5
08-02-2024,0.0,3.892039675762765,1.5
09-02-2024,1.65,0.2295023442018716,1.5
10-02-2024,28.2,3.307205933257709,1.5
11-02-2024,3.95,3.5539379599125827,1.5
12-02-2024,67.25,7.9130002740539505,1.5
13-02-2024,12.1,8.830873387949373,1.5
14-02-2024,2.65,1.6884727206256704,1.5
