Tanggal,P,Wf,Wl,gate
01-11-2023,0,0.05,0.5,8.07094681484788
02-11-2023,0,0.05,0.5,8.07094681484788
03-11-2023,0,0.05,0.5,8.07094681484788
04-11-2023,0,0.05,0.5,8.07094681484788
05-11-2023,18.7,1.7366807267301,0.699466666666667,8.8192040622269
06-11-2023,18.3,3.46302829669724,0.828888888888889,19.6130063207237
07-11-2023,0,1.77634756996714,0.781904761904762,10.7050067868022
08-11-2023,0,0.05,0.746666666666667,7.23745348174569
09-11-2023,0,0.05,0.719259259259259,6.86894981298248
10-11-2023,3.75,0.390599743059622,0.717333333333333,7.07445420945897
11-11-2023,0.25,0.413317935350127,0.718666666666667,7.09649900264002
12-11-2023,0,0.072718192290505,0.718666666666667,6.87853388611255
13-11-2023,0,0.05,0.718666666666667,6.86577026788503
14-11-2023,0,0.05,0.718666666666667,6.86577026788503
15-11-2023,0,0.05,0.618933333333333,8.69937421929831
16-11-2023,0,0.05,0.521333333333333,8.94924132025751
17-11-2023,0.05,0.0541274312958123,0.5216,8.96652947676623
18-11-2023,0.1,0.062385046252205,0.522133333333333,9.00126033846451
19-11-2023,0,0.0582576149563927,0.522133333333333,8.9963784529715
20-11-2023,0,0.05,0.502133333333333,8.14717478322017
21-11-2023,0,0.05,0.5008,8.09937362020884
22-11-2023,0,0.05,0.5008,8.09937362020884
23-11-2023,0,0.05,0.5008,8.09937362020884
24-11-2023,0,0.05,0.5008,8.09937362020884
25-11-2023,0,0.05,0.5008,8.09937362020884
26-11-2023,0,0.05,0.5008,8.09937362020884
27-11-2023,1.35,0.160458511392623,0.507733333333333,8.47938312461287
28-11-2023,5.2,0.593238246865202,0.534933333333333,10.5384600455352
29-11-2023,10.25,1.36232089634891,0.5896,12.8033682314256
30-11-2023,3.55,1.23709712005512,0.608533333333333,11.1040979602754
01-12-2023,0.9,0.435711924183447,0.613333333333333,9.43870952353126
02-12-2023,1.35,0.245798951630629,0.620533333333333,8.85717980001849
03-12-2023,1.5,0.298854695264424,0.628533333333333,8.59229073294764
04-12-2023,13.15,1.36692275493005,0.698666666666667,8.01641193080157
05-12-2023,13.15,2.45248883140282,0.7688,12.3956755037799
06-12-2023,0,1.26677778511121,0.7688,9.11580313357858
07-12-2023,2.05,0.239929001056846,0.772533333333333,7.93931334593513
08-12-2023,34.95,3.63108412217525,0.9312,29.1108198024691
09-12-2023,26.8,6.09532110537034,1.01946666666667,44.4525708608007
10-12-2023,44.55,7.29589210636676,1.23813333333333,51.4295349769738
11-12-2023,16.5,6.36321662247908,1.32133333333333,56.6779909203045
12-12-2023,1,1.87579625335807,1.31946666666667,41.4944283031412
