Tanggal,P,Wf,Wl,gate
01-11-2023,0,0.05,0.5,7.37850120883381
02-11-2023,0,0.05,0.5,7.37850120883381
03-11-2023,0,0.05,0.5,7.37850120883381
04-11-2023,0,0.05,0.5,7.37850120883381
05-11-2023,18.7,1.7366807267301,0.699466666666667,24.8190233074827
06-11-2023,18.3,3.46302829669724,0.828888888888889,37.8146720627364
07-11-2023,0,1.77634756996714,0.781904761904762,27.1076292689717
08-11-2023,0,0.05,0.746666666666667,8.65448914877049
09-11-2023,0,0.05,0.719259259259259,9.19948515239225
10-11-2023,3.75,0.390599743059622,0.717333333333333,17.5662585699815
11-11-2023,0.25,0.413317935350127,0.718666666666667,18.1368062132215
12-11-2023,0,0.072718192290505,0.718666666666667,9.72357286090484
13-11-2023,0,0.05,0.718666666666667,9.2138916209693
14-11-2023,0,0.05,0.718666666666667,9.2138916209693
15-11-2023,0,0.05,0.618933333333333,8.74621236932695
16-11-2023,0,0.05,0.521333333333333,7.30155752334885
17-11-2023,0.05,0.0541274312958123,0.5216,7.30069678124866
18-11-2023,0.1,0.062385046252205,0.522133333333333,7.29897600400761
19-11-2023,0,0.0582576149563927,0.522133333333333,7.29897600400761
20-11-2023,0,0.05,0.502133333333333,7.36984356002423
21-11-2023,0,0.05,0.5008,7.37525158904063
22-11-2023,0,0.05,0.5008,7.37525158904063
23-11-2023,0,0.05,0.5008,7.37525158904063
24-11-2023,0,0.05,0.5008,7.37525158904063
25-11-2023,0,0.05,0.5008,7.37525158904063
26-11-2023,0,0.05,0.5008,7.37525158904063
27-11-2023,1.35,0.160458511392623,0.507733333333333,7.38810552215724
28-11-2023,5.2,0.593238246865202,0.534933333333333,8.67288893572567
29-11-2023,10.25,1.36232089634891,0.5896,10.2816631054683
30-11-2023,3.55,1.23709712005512,0.608533333333333,11.2618983469354
01-12-2023,0.9,0.435711924183447,0.613333333333333,12.2088978031641
02-12-2023,1.35,0.245798951630629,0.620533333333333,11.7920042268805
03-12-2023,1.5,0.298854695264424,0.628533333333333,13.880366094087
04-12-2023,13.15,1.36692275493005,0.698666666666667,23.547806501818
05-12-2023,13.15,2.45248883140282,0.7688,29.2264669357149
06-12-2023,0,1.26677778511121,0.7688,25.4240320268108
07-12-2023,2.05,0.239929001056846,0.772533333333333,12.2565321337433
08-12-2023,34.95,3.63108412217525,0.9312,48.0215427653468
09-12-2023,26.8,6.09532110537034,1.01946666666667,66.9066462731454
10-12-2023,44.55,7.29589210636676,1.23813333333333,76.5999569613481
11-12-2023,16.5,6.36321662247908,1.32133333333333,77.698091351542
12-12-2023,1,1.87579625335807,1.31946666666667,64.0204616542382
13-12-2023,0,0.154305752993803,1.31146666666667,40.9081294382904
14-12-2023,35.3,3.78489377340301,1.4296,74.7630326964858
15-12-2023,3,4.10016701913605,1.37546666666667,70.8225180889639
16-12-2023,26.7,3.21898923893282,1.5,76.791649740538
17-12-2023,0.25,2.93040812293162,1.5,76.2414668389795
18-12-2023,0.5,0.128881587010335,1.32453333333333,41.4256273473971
19-12-2023,0,0.102189457278505,1.1816,30.4783090051066
