Tanggal,P,Wf,Wl,vx,h1,h2,gate
01-11-2023,0,0.05,0.5,0.333371589996434,0.5,0,0
02-11-2023,0,0.05,0.5,0.333371589996434,0.5,0,0
03-11-2023,0,0.05,0.5,0.333371589996434,0.5,0,0
04-11-2023,0,0.05,0.5,0.333371589996434,0.5,0,0
05-11-2023,18.7,1.7366807267301,0.699466666666667,2.21557034720106,0.699466666666667,0,0
06-11-2023,18.3,3.46302829669724,0.828888888888889,2.654995193809,0.828888888888889,0.211259708417376,14.0839805611584
07-11-2023,0,1.77634756996714,0.781904761904762,2.56468136110614,0.781904761904762,0.140248619397385,9.34990795982564
08-11-2023,0,0.05,0.746666666666667,2.55975865673382,0.746666666666667,0.103724790047081,6.9149860031387
09-11-2023,0,0.05,0.719259259259259,2.31994841207375,0.719259259259259,0.0166739705071449,1.11159803380966
10-11-2023,3.75,0.390599743059622,0.717333333333333,2.30556025308162,0.717333333333333,0.0113559674102836,0.757064494018906
11-11-2023,0.25,0.413317935350127,0.718666666666667,2.31652507338639,0.718666666666667,0.015272396311306,1.01815975408707
12-11-2023,0,0.072718192290505,0.718666666666667,2.31485389506311,0.718666666666667,0.0148779080269551,0.99186053513034
13-11-2023,0,0.05,0.718666666666667,2.31474241739332,0.718666666666667,0.0148516034087597,0.990106893917313
14-11-2023,0,0.05,0.718666666666667,2.31474241739332,0.718666666666667,0.0148516034087597,0.990106893917313
15-11-2023,0,0.05,0.618933333333333,1.42618799887062,0.618933333333333,0,0
16-11-2023,0,0.05,0.521333333333333,0.532125718208305,0.521333333333333,0,0
17-11-2023,0.05,0.0541274312958123,0.5216,0.536212242769075,0.5216,0,0
18-11-2023,0.1,0.062385046252205,0.522133333333333,0.544372519660178,0.522133333333333,0,0
19-11-2023,0,0.0582576149563927,0.522133333333333,0.542767183871864,0.522133333333333,0,0
20-11-2023,0,0.05,0.502133333333333,0.353301671314972,0.502133333333333,0,0
21-11-2023,0,0.05,0.5008,0.340846798338263,0.5008,0,0
22-11-2023,0,0.05,0.5008,0.340846798338263,0.5008,0,0
23-11-2023,0,0.05,0.5008,0.340846798338263,0.5008,0,0
24-11-2023,0,0.05,0.5008,0.340846798338263,0.5008,0,0
25-11-2023,0,0.05,0.5008,0.340846798338263,0.5008,0,0
26-11-2023,0,0.05,0.5008,0.340846798338263,0.5008,0,0
27-11-2023,1.35,0.160458511392623,0.507733333333333,0.45172332119694,0.507733333333333,0,0
28-11-2023,5.2,0.593238246865202,0.534933333333333,0.855522446398358,0.534933333333333,0,0
29-11-2023,10.25,1.36232089634891,0.5896,1.49422989407095,0.5896,0,0
30-11-2023,3.55,1.23709712005512,0.608533333333333,1.5902043166509,0.608533333333333,0,0
01-12-2023,0.9,0.435711924183447,0.613333333333333,1.45580973445314,0.613333333333333,0,0
02-12-2023,1.35,0.245798951630629,0.620533333333333,1.478624695609,0.620533333333333,0,0
03-12-2023,1.5,0.298854695264424,0.628533333333333,1.55719424000575,0.628533333333333,0,0
04-12-2023,13.15,1.36692275493005,0.698666666666667,2.1951822221487,0.698666666666667,0,0
05-12-2023,13.15,2.45248883140282,0.7688,2.49686327263755,0.7688,0.109648226414185,7.30988176094565
06-12-2023,0,1.26677778511121,0.7688,2.54875000482246,0.7688,0.122991773041922,8.19945153612812
07-12-2023,2.05,0.239929001056846,0.772533333333333,2.60300960110029,0.772533333333333,0.14097242525078,9.39816168338536
08-12-2023,34.95,3.63108412217525,0.9312,2.99236919976167,0.9312,0.410679583470045,27.378638898003
09-12-2023,26.8,6.09532110537034,1.01946666666667,3.19358499721416,1.01946666666667,0.562387213783453,37.4924809188969
10-12-2023,44.55,7.29589210636676,1.23813333333333,3.53162182090066,1.23813333333333,0.896923786231484,59.794919082099
11-12-2023,16.5,6.36321662247908,1.32133333333333,3.66019427383248,1.32133333333333,1.02725270755332,68.4835138368878
12-12-2023,1,1.87579625335807,1.31946666666667,3.64642122501058,1.31946666666667,1.02025686800243,68.0171245334953
13-12-2023,0,0.154305752993803,1.31146666666667,3.65088773406699,1.31146666666667,1.01391810635886,67.5945404239239
14-12-2023,35.3,3.78489377340301,1.4296,3.7803006670264,1.4296,1.18106733604079,78.7378224027191
15-12-2023,3,4.10016701913605,1.37546666666667,3.70128348490354,1.37546666666667,1.09680282546481,73.120188364321
16-12-2023,26.7,3.21898923893282,1.5,3.88930928846015,1.5,1.29407965042316,86.2719766948773
17-12-2023,0.25,2.93040812293162,1.5,3.8950601396895,1.5,1.29636134005087,86.4240893367244
18-12-2023,0.5,0.128881587010335,1.32453333333333,3.67191107112278,1.32453333333333,1.0348313411944,68.9887560796264
19-12-2023,0,0.102189457278505,1.1816,3.44351474332045,1.1816,0.809067369391709,53.937824626114
20-12-2023,0,0.05,0.944,3.01979183511064,0.944,0.431882707818597,28.7921805212398
21-12-2023,0,0.05,0.856,2.81234683892372,0.856,0.282218692273406,18.8145794848937
22-12-2023,0,0.05,0.850666666666667,2.79962089937957,0.850666666666667,0.273245320093928,18.2163546729285
23-12-2023,0,0.05,0.850666666666667,2.79962089937957,0.850666666666667,0.273245320093928,18.2163546729285
24-12-2023,0,0.05,0.6624,1.81649716724415,0.6624,0,0
25-12-2023,0,0.05,0.6464,1.67337895840627,0.6464,0,0
26-12-2023,24.85,2.23184766410494,0.636533333333333,1.93987499976426,0.636533333333333,0,0
27-12-2023,0,2.23184766410494,0.6352,1.93354232784656,0.6352,0,0
28-12-2023,0,0.05,0.632533333333333,1.54882220427003,0.632533333333333,0,0
29-12-2023,0.6,0.102660992571341,0.635733333333333,1.58626526335536,0.635733333333333,0,0
30-12-2023,15.75,1.53448758433975,0.719733333333333,2.32838632170574,0.719733333333333,0.0191471387923738,1.27647591949159
31-12-2023,15.75,2.956066221373,0.803733333333333,2.58792687115774,0.803733333333333,0.168181931216122,11.2121287477414
01-01-2024,2.2,1.73092622306518,0.815466666666667,2.66339742356447,0.815466666666667,0.20011507827981,13.341005218654
02-01-2024,10.6,1.26924363261286,0.872,2.83175664745451,0.872,0.303802329786076,20.2534886524051
03-01-2024,0,1.06255703915228,0.872,2.83491947096466,0.872,0.3047158209406,20.3143880627066
04-01-2024,3,0.33783413980282,0.888,2.88517620693493,0.888,0.335367876914548,22.3578584609699
05-01-2024,1.1,0.439356424464384,0.761333333333333,2.56592541897539,0.761333333333333,0.120002510486445,8.000167365763
06-01-2024,0,0.151522284661564,0.761333333333333,2.57913178629029,0.761333333333333,0.123465686598011,8.2310457732007
07-01-2024,1.65,0.202745021983218,0.770133333333333,2.59864516010346,0.770133333333333,0.13741532457335,9.16102163822336
08-01-2024,1.65,0.355780113382909,0.775733333333333,2.60612691725075,0.775733333333333,0.145000076902085,9.66667179347237
09-01-2024,39.05,3.96172129827051,0.9,2.88651657930216,0.9,0.347762179540582,23.1841453027055
10-01-2024,23.15,6.05951720129273,0.939466666666667,3.02019484704784,0.939466666666667,0.427473441087376,28.498229405825
11-01-2024,1.65,2.4611411423485,0.936533333333333,3.00747282616357,0.936533333333333,0.420631641188191,28.042109412546
12-01-2024,2.55,0.45533807067049,0.8936,2.89773555886559,0.8936,0.344669692615398,22.9779795076932
