Tanggal,P,Wf,Wl,gate
01-11-2023,0,0.05,0.5,23.9130763851622
02-11-2023,0,0.05,0.5,23.9130763851622
03-11-2023,0,0.05,0.5,23.9130763851622
04-11-2023,0,0.05,0.5,23.9130763851622
05-11-2023,18.7,1.7366807267301,0.699466666666667,36.2181299195668
06-11-2023,18.3,3.46302829669724,0.828888888888889,44.8703111019405
07-11-2023,0,1.77634756996714,0.781904761904762,40.1549950816925
08-11-2023,0,0.05,0.746666666666667,31.5544133395983
09-11-2023,0,0.05,0.719259259259259,30.9498739714008
10-11-2023,3.75,0.390599743059622,0.717333333333333,32.7991131620709
11-11-2023,0.25,0.413317935350127,0.718666666666667,32.9480534544042
12-11-2023,0,0.072718192290505,0.718666666666667,31.0720478303662
13-11-2023,0,0.05,0.718666666666667,30.9408059457184
14-11-2023,0,0.05,0.718666666666667,30.9408059457184
15-11-2023,0,0.05,0.618933333333333,30.6314770425433
16-11-2023,0,0.05,0.521333333333333,25.7126543178035
17-11-2023,0.05,0.0541274312958123,0.5216,25.727338865721
18-11-2023,0.1,0.062385046252205,0.522133333333333,25.756821194575
19-11-2023,0,0.0582576149563927,0.522133333333333,25.7636254255221
20-11-2023,0,0.05,0.502133333333333,24.0985555790948
21-11-2023,0,0.05,0.5008,23.9827524461942
22-11-2023,0,0.05,0.5008,23.9827524461942
23-11-2023,0,0.05,0.5008,23.9827524461942
24-11-2023,0,0.05,0.5008,23.9827524461942
25-11-2023,0,0.05,0.5008,23.9827524461942
26-11-2023,0,0.05,0.5008,23.9827524461942
27-11-2023,1.35,0.160458511392623,0.507733333333333,24.3946101579034
28-11-2023,5.2,0.593238246865202,0.534933333333333,26.2307082065625
29-11-2023,10.25,1.36232089634891,0.5896,29.9314261851573
30-11-2023,3.55,1.23709712005512,0.608533333333333,31.3234106838022
01-12-2023,0.9,0.435711924183447,0.613333333333333,31.0566873106338
02-12-2023,1.35,0.245798951630629,0.620533333333333,30.9747619155362
03-12-2023,1.5,0.298854695264424,0.628533333333333,31.230769083476
04-12-2023,13.15,1.36692275493005,0.698666666666667,35.7709788530763
05-12-2023,13.15,2.45248883140282,0.7688,39.9724027795958
06-12-2023,0,1.26677778511121,0.7688,38.5126685089226
07-12-2023,2.05,0.239929001056846,0.772533333333333,33.6945418654456
08-12-2023,34.95,3.63108412217525,0.9312,50.7394988325403
09-12-2023,26.8,6.09532110537034,1.01946666666667,65.0280646517266
10-12-2023,44.55,7.29589210636676,1.23813333333333,74.2384012862655
11-12-2023,16.5,6.36321662247908,1.32133333333333,71.0704113343824
12-12-2023,1,1.87579625335807,1.31946666666667,62.3588382821094
13-12-2023,0,0.154305752993803,1.31146666666667,46.6980153139893
14-12-2023,35.3,3.78489377340301,1.4296,62.9786469045744
15-12-2023,3,4.10016701913605,1.37546666666667,61.3757314854451
16-12-2023,26.7,3.21898923893282,1.5,75.6853167125134
17-12-2023,0.25,2.93040812293162,1.5,76.0551262203795
18-12-2023,0.5,0.128881587010335,1.32453333333333,47.0246244593224
19-12-2023,0,0.102189457278505,1.1816,44.0582373226958
20-12-2023,0,0.05,0.944,42.0820591669048
21-12-2023,0,0.05,0.856,37.2405364886081
22-12-2023,0,0.05,0.850666666666667,36.8812349736363
23-12-2023,0,0.05,0.850666666666667,36.8812349736363
24-12-2023,0,0.05,0.6624,30.7135925227211
25-12-2023,0,0.05,0.6464,30.7529769485016
26-12-2023,24.85,2.23184766410494,0.636533333333333,33.5744207217418
27-12-2023,0,2.23184766410494,0.6352,33.499076584546
28-12-2023,0,0.05,0.632533333333333,30.7379694984045
29-12-2023,0.6,0.102660992571341,0.635733333333333,30.8769414355082
30-12-2023,15.75,1.53448758433975,0.719733333333333,36.912064910048
31-12-2023,15.75,2.956066221373,0.803733333333333,42.3007962958532
01-01-2024,2.2,1.73092622306518,0.815466666666667,42.0432191490712
02-01-2024,10.6,1.26924363261286,0.872,45.3287738542924
03-01-2024,0,1.06255703915228,0.872,44.6039002780412
04-01-2024,3,0.33783413980282,0.888,41.5461946188482
05-01-2024,1.1,0.439356424464384,0.761333333333333,34.4412358577771
06-01-2024,0,0.151522284661564,0.761333333333333,32.6831422434911
07-01-2024,1.65,0.202745021983218,0.770133333333333,33.3561322980067
08-01-2024,1.65,0.355780113382909,0.775733333333333,34.559811805823
09-01-2024,39.05,3.96172129827051,0.9,49.5768860143052
10-01-2024,23.15,6.05951720129273,0.939466666666667,60.0957043444722
11-01-2024,1.65,2.4611411423485,0.936533333333333,50.803455710829
12-01-2024,2.55,0.45533807067049,0.8936,42.7549245423473
13-01-2024,0.1,0.304638232056315,0.894133333333333,41.6960142551389
14-01-2024,0,0.059610309312414,0.878133333333333,38.7864253843885
15-01-2024,0,0.05,0.872266666666667,38.3283626586408
16-01-2024,9.15,0.93554551040605,0.921066666666667,47.4972484806219
17-01-2024,46.3,5.64632522403945,1.1592,69.4281418042533
18-01-2024,12.5,6.044883725929,1.21706666666667,70.9446037945441
19-01-2024,10.95,2.4293216547969,1.0672,59.3056961193111
20-01-2024,18.35,2.97105027366954,1.0416,58.4984932047266
21-01-2024,18.15,3.7128409543996,1.1296,62.6689537525148
22-01-2024,5.85,2.48096730229189,1.1472,60.7243520311029
23-01-2024,9.95,1.66324895435999,1.19973333333333,60.545310298613
24-01-2024,0,1.06928997529946,1.19973333333333,56.8303352633401
25-01-2024,2.75,0.332382520509939,1.2144,47.6013692507181
26-01-2024,2.15,0.55180325551508,1.17706666666667,50.6916177918645
27-01-2024,1.5,0.415214936557171,0.938133333333333,44.9268836843205
