Tanggal,P,Wf,Wl,gate
01-11-2023,0,0.05,0.5,7.81425645450382
02-11-2023,0,0.05,0.5,7.81425645450382
03-11-2023,0,0.05,0.5,7.81425645450382
04-11-2023,0,0.05,0.5,7.81425645450382
05-11-2023,18.7,1.7366807267301,0.699466666666667,21.238232832797
06-11-2023,18.3,3.46302829669724,0.828888888888889,40.4030209081144
07-11-2023,0,1.77634756996714,0.781904761904762,29.0904777541422
08-11-2023,0,0.05,0.746666666666667,7.39365246190662
09-11-2023,0,0.05,0.719259259259259,7.93086803021893
10-11-2023,3.75,0.390599743059622,0.717333333333333,12.0973371884132
11-11-2023,0.25,0.413317935350127,0.718666666666667,12.3403608445626
12-11-2023,0,0.072718192290505,0.718666666666667,8.7702339632735
13-11-2023,0,0.05,0.718666666666667,7.94112927557736
14-11-2023,0,0.05,0.718666666666667,7.94112927557736
15-11-2023,0,0.05,0.618933333333333,8.8514351507787
16-11-2023,0,0.05,0.521333333333333,8.17025298923912
17-11-2023,0.05,0.0541274312958123,0.5216,8.56428217178702
18-11-2023,0.1,0.062385046252205,0.522133333333333,8.52925636847843
19-11-2023,0,0.0582576149563927,0.522133333333333,8.55097616332811
20-11-2023,0,0.05,0.502133333333333,7.85319957229938
21-11-2023,0,0.05,0.5008,7.8289471900773
22-11-2023,0,0.05,0.5008,7.8289471900773
23-11-2023,0,0.05,0.5008,7.8289471900773
24-11-2023,0,0.05,0.5008,7.8289471900773
25-11-2023,0,0.05,0.5008,7.8289471900773
26-11-2023,0,0.05,0.5008,7.8289471900773
27-11-2023,1.35,0.160458511392623,0.507733333333333,7.69047865139294
28-11-2023,5.2,0.593238246865202,0.534933333333333,7.25849018682532
29-11-2023,10.25,1.36232089634891,0.5896,11.7875307639112
30-11-2023,3.55,1.23709712005512,0.608533333333333,12.5541456679275
01-12-2023,0.9,0.435711924183447,0.613333333333333,10.1927101670243
02-12-2023,1.35,0.245798951630629,0.620533333333333,9.85116889462767
03-12-2023,1.5,0.298854695264424,0.628533333333333,10.1452437228551
04-12-2023,13.15,1.36692275493005,0.698666666666667,19.0298176803463
05-12-2023,13.15,2.45248883140282,0.7688,30.574582291838
06-12-2023,0,1.26677778511121,0.7688,23.6068018456442
07-12-2023,2.05,0.239929001056846,0.772533333333333,12.3681682909353
08-12-2023,34.95,3.63108412217525,0.9312,49.1788445798725
09-12-2023,26.8,6.09532110537034,1.01946666666667,61.8955554582865
10-12-2023,44.55,7.29589210636676,1.23813333333333,81.4944310999001
11-12-2023,16.5,6.36321662247908,1.32133333333333,80.9378081335991
12-12-2023,1,1.87579625335807,1.31946666666667,67.2120127318204
13-12-2023,0,0.154305752993803,1.31146666666667,43.4019957798331
14-12-2023,35.3,3.78489377340301,1.4296,77.6915264712311
15-12-2023,3,4.10016701913605,1.37546666666667,75.6415266270208
16-12-2023,26.7,3.21898923893282,1.5,82.2338813627443
17-12-2023,0.25,2.93040812293162,1.5,82.1470305276068
18-12-2023,0.5,0.128881587010335,1.32453333333333,43.3985623647761
19-12-2023,0,0.102189457278505,1.1816,36.4423566415271
20-12-2023,0,0.05,0.944,18.5671849548956
21-12-2023,0,0.05,0.856,14.4431061424999
