Tanggal,RR,ARR,ARRM,Qr,Q,vx,Wf,Wl
01-11-2023,0,NaN,NaN,0,0,0.1,0.05,0.5
02-11-2023,0,NaN,NaN,0,0,0.1,0.05,0.5
03-11-2023,0,NaN,NaN,0,0,0.1,0.05,0.5
04-11-2023,0,NaN,NaN,0,0,0.1,0.05,0.5
05-11-2023,18.7,NaN,NaN,1.496,3.3733614534602,2.19944993259484,1.7366807267301,0.699466666666667
06-11-2023,18.3,NaN,NaN,1.464,3.45269513993428,2.71660744634523,3.46302829669724,0.828888888888889
07-11-2023,0,NaN,NaN,0,0,2.55472221647951,1.77634756996714,0.781904761904762
08-11-2023,0,NaN,NaN,0,0,2.41575415268539,0.05,0.746666666666667
09-11-2023,0,NaN,NaN,0,0,2.29491802336141,0.05,0.719259259259259
10-11-2023,3.75,40.75,NaN,0.3,0.681199486119244,2.2859498948942,0.390599743059622,0.717333333333333
11-11-2023,0.25,41,NaN,0.02,0.04543638458101,2.2921656710684,0.413317935350127,0.718666666666667
12-11-2023,0,41,NaN,0,0,2.2921656710684,0.072718192290505,0.718666666666667
13-11-2023,0,41,NaN,0,0,2.2921656710684,0.05,0.718666666666667
14-11-2023,0,41,NaN,0,0,2.2921656710684,0.05,0.718666666666667
15-11-2023,0,22.3,NaN,0,0,1.71365168603724,0.05,0.618933333333333
16-11-2023,0,4,NaN,0,0,0.675438348343354,0.05,0.521333333333333
17-11-2023,0.05,4.05,NaN,0.004,0.00825486259162456,0.680025957309257,0.0541274312958123,0.5216
18-11-2023,0.1,4.15,NaN,0.008,0.0165152299127855,0.689133321466438,0.062385046252205,0.522133333333333
19-11-2023,0,4.15,NaN,0,0,0.689133321466438,0.0582576149563927,0.522133333333333
20-11-2023,0,0.4,NaN,0,0,0.227114890758611,0.05,0.502133333333333
21-11-2023,0,0.15,NaN,0,0,0.166219682649107,0.05,0.5008
22-11-2023,0,0.15,NaN,0,0,0.166219682649107,0.05,0.5008
23-11-2023,0,0.15,NaN,0,0,0.166219682649107,0.05,0.5008
24-11-2023,0,0.15,NaN,0,0,0.166219682649107,0.05,0.5008
25-11-2023,0,0.15,NaN,0,0,0.166219682649107,0.05,0.5008
26-11-2023,0,0.15,NaN,0,0,0.166219682649107,0.05,0.5008
27-11-2023,1.35,1.45,NaN,0.108,0.220917022785247,0.397753827697154,0.160458511392623,0.507733333333333
28-11-2023,5.2,6.55,NaN,0.416,0.865559470945156,0.88583293864765,0.593238246865202,0.534933333333333
29-11-2023,10.25,16.8,NaN,0.82,1.75908232175266,1.47997220945524,1.36232089634891,0.5896
30-11-2023,3.55,20.35,61.5,0.284,0.615111918357589,1.63540339542106,1.23709712005512,0.608533333333333
01-12-2023,0.9,21.25,62.4,0.072,0.156311930009306,1.67208990863242,0.435711924183447,0.613333333333333
02-12-2023,1.35,22.6,63.75,0.108,0.235285973251953,1.72529182754551,0.245798951630629,0.620533333333333
03-12-2023,1.5,24.1,65.25,0.12,0.262423417276895,1.78200889333861,0.298854695264424,0.628533333333333
04-12-2023,13.15,37.25,78.4,1.052,2.37142209258321,2.19543071173345,1.36692275493005,0.698666666666667
05-12-2023,13.15,50.4,72.85,1.052,2.43355557022242,2.50499351915296,2.45248883140282,0.7688
06-12-2023,0,50.4,54.55,0,0,2.50499351915296,1.26677778511121,0.7688
07-12-2023,2.05,51.1,56.6,0.164,0.379858002113692,2.51938463187286,0.239929001056846,0.772533333333333
08-12-2023,34.95,80.85,91.55,2.796,6.7823102422368,3.00041743546776,3.63108412217525,0.9312
09-12-2023,26.8,97.4,118.35,2.144,5.30833196850388,3.19143239522203,6.09532110537034,1.01946666666667
10-12-2023,44.55,138.4,159.15,3.564,9.18345224422963,3.53253456077516,7.29589210636676,1.23813333333333
11-12-2023,16.5,154,175.4,1.32,3.44298100072853,3.62945803367879,6.36321662247908,1.32133333333333
12-12-2023,1,153.65,176.4,0.08,0.208611505987606,3.62743129374258,1.87579625335807,1.31946666666667
13-12-2023,0,152.15,176.4,0,0,3.61867322169371,0.154305752993803,1.31146666666667
14-12-2023,35.3,174.3,211.7,2.824,7.46978754680603,3.73712059394773,3.78489377340301,1.4296
15-12-2023,3,164.15,214.7,0.24,0.63054649146607,3.68560969832822,4.10016701913605,1.37546666666667
16-12-2023,26.7,190.85,241.4,2.136,5.70743198639958,3.8125715271301,3.21898923893282,1.5
17-12-2023,0.25,189.05,241.6,0.02,0.0533842594636589,3.80482900688913,2.93040812293162,1.5
18-12-2023,0.5,154.6,242,0.04,0.104378914557011,3.63291780986663,0.128881587010335,1.32453333333333
19-12-2023,0,127.8,242,0,0,3.45796411110741,0.102189457278505,1.1816
20-12-2023,0,83.25,242,0,0,3.03074006294147,0.05,0.944
21-12-2023,0,66.75,242,0,0,2.79994016402759,0.05,0.856
22-12-2023,0,65.75,242,0,0,2.78406706934339,0.05,0.850666666666667
23-12-2023,0,65.75,242,0,0,2.78406706934339,0.05,0.850666666666667
24-12-2023,0,30.45,242,0,0,1.99822250495854,0.05,0.6624
25-12-2023,0,27.45,242,0,0,1.90051386437154,0.05,0.6464
26-12-2023,24.85,25.6,266.85,1.988,4.36369532820988,1.83639427482731,2.23184766410494,0.636533333333333
27-12-2023,0,25.35,265.5,0,0,1.82748433845959,2.23184766410494,0.6352
28-12-2023,0,24.85,260.3,0,0,1.80948168914561,0.05,0.632533333333333
29-12-2023,0.6,25.45,250.65,0.048,0.105321985142682,1.83105555018621,0.102660992571341,0.635733333333333
30-12-2023,15.75,41.2,262.85,1.26,2.86365318353682,2.29711540267864,1.53448758433975,0.719733333333333
31-12-2023,15.75,56.95,277.7,1.26,2.94847925920919,2.63293260614459,2.956066221373,0.803733333333333
01-01-2024,2.2,59.15,278.55,0.176,0.413373186921164,2.67277313962024,1.73092622306518,0.815466666666667
02-01-2024,10.6,69.75,287.65,0.848,2.02511407830455,2.84612912283973,1.26924363261286,0.872
03-01-2024,0,69.75,274.5,0,0,2.84612912283973,1.06255703915228,0.872
04-01-2024,3,72.75,264.35,0.24,0.57566827960564,2.89028880805362,0.33783413980282,0.888
05-01-2024,1.1,49,265.45,0.088,0.203044569323128,2.47565456984549,0.439356424464384,0.761333333333333
06-01-2024,0,49,263.4,0,0,2.47565456984549,0.151522284661564,0.761333333333333
07-01-2024,1.65,50.65,230.1,0.132,0.305490043966435,2.51015415690411,0.202745021983218,0.770133333333333
08-01-2024,1.65,51.7,204.95,0.132,0.306070182799382,2.53157607878971,0.355780113382909,0.775733333333333
09-01-2024,39.05,75,199.45,3.124,7.51737241374163,2.92216004179028,3.96172129827051,0.9
10-01-2024,23.15,82.4,206.1,1.852,4.50166198884383,3.02011323967458,6.05951720129273,0.939466666666667
11-01-2024,1.65,81.85,206.75,0.132,0.320620295853178,3.01317180968959,2.4611411423485,0.936533333333333
12-01-2024,2.55,73.8,209.3,0.204,0.490055845487802,2.90529112023326,0.45533807067049,0.8936
13-01-2024,0.1,73.9,174.1,0.008,0.0192206186248279,2.90670803329503,0.304638232056315,0.894133333333333
14-01-2024,0,70.9,171.1,0,0,2.86328905813725,0.059610309312414,0.878133333333333
15-01-2024,0,69.8,144.4,0,0,2.84688134561219,0.05,0.872266666666667
16-01-2024,9.15,78.95,153.3,0.732,1.7710910208121,2.9756973801765,0.93554551040605,0.921066666666667
17-01-2024,46.3,123.6,199.1,3.704,9.42155942726681,3.42615539138432,5.64632522403945,1.1592
18-01-2024,12.5,134.45,211.6,1,2.5682080245912,3.50565063987549,6.044883725929,1.21706666666667
19-01-2024,10.95,106.35,222.55,0.876,2.19043528500261,3.27953483627334,2.4293216547969,1.0672
20-01-2024,18.35,101.55,240.9,1.468,3.65166526233646,3.23344281696641,2.97105027366954,1.0416
21-01-2024,18.15,118.05,259.05,1.452,3.67401664646273,3.38193524369871,3.7128409543996,1.1296
22-01-2024,5.85,121.35,264.9,0.468,1.18791795812105,3.40853879001626,2.48096730229189,1.1472
23-01-2024,9.95,131.2,274.85,0.796,2.03857995059893,3.48273940346262,1.66324895435999,1.19973333333333
24-01-2024,0,131.2,274.85,0,0,3.48273940346262,1.06928997529946,1.19973333333333
